dataset,ood_dataset,model,optimizer,seed,epoch,checkpoint_exists,checkpoint_path,clean_eval_exists,clean_accuracy,clean_loss,clean_eval_file,cifarc_eval_exists,cifarc_mean_accuracy,cifarc_mean_loss,ood_gap,cifarc_eval_file,severity_1_exists,severity_2_exists,severity_3_exists,severity_4_exists,severity_5_exists,severity_all_complete,corruption_results_exist,num_corruptions_found,missing_corruptions,hessian_exists,top_eigenvalue_exists,trace_exists,top_hessian_eigenvalue,trace_estimate,participation_ratio_approx,hessian_file,lanczos_exists,spectral_metrics_exist,invalid_lanczos,topk_eigenvalues_file,top_1_mass_ratio,top_5_mass_ratio,top_10_mass_ratio,lambda_max_over_topk_sum,spectral_entropy,effective_rank_entropy,participation_ratio_topk,status,missing_items,top_eigenvalue,severity_1_accuracy,severity_2_accuracy,severity_3_accuracy,severity_4_accuracy,severity_5_accuracy
cifar100,cifar100-c,resnet18,sgd,43,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sgd_seed43_ep100.pt,True,0.7718,0.9133496601104736,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed43_ep100_train.csv,True,0.4862626666666667,2.4717483319040934,0.2855373333333333,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed43_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,42.382720947265625,407.9071960449219,9.632662437308507,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed43_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed43_ep100_hessian_topk_eigenvalues.csv,0.179114067490068,0.4897416704032472,0.7401610790961834,0.179114067490068,2.779628927224077,16.113040727796278,13.018087832864463,COMPLETE,,42.382720947265625,0.6365200000000001,0.5571066666666666,0.4902666666666667,0.42330666666666666,0.3241133333333333
cifar100,cifar100-c,resnet18,sgd,44,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sgd_seed44_ep100.pt,True,0.7706,0.9027223061561584,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed44_ep100_train.csv,True,0.4867453333333333,2.470040671485901,0.2838546666666666,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed44_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,145.9477996826172,407.8074951171875,8.797658471663526,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed44_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed44_ep100_hessian_topk_eigenvalues.csv,0.4695326336358287,0.6932901150981144,0.8660002330231915,0.4695326336358287,2.125649622035646,8.37833847393855,4.136293602329647,COMPLETE,,145.9477996826172,0.63688,0.5563933333333334,0.49201333333333336,0.42390666666666665,0.32453333333333334
cifar100,cifar100-c,resnet18,sam,42,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sam_seed42_ep100.pt,True,0.7775,0.8229615367889405,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed42_ep100_train.csv,True,0.4912893333333333,2.463250295475006,0.2862106666666666,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed42_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,21.781648635864254,245.10166931152344,9.829347792531404,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed42_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed42_ep100_hessian_topk_eigenvalues.csv,0.1759001938311357,0.4944265628532118,0.7466775351176671,0.1759001938311357,2.774775487247092,16.035026523547085,13.035974581633536,COMPLETE,,21.781648635864254,0.6428533333333333,0.5611466666666666,0.49608,0.42802,0.3283466666666667
cifar100,cifar100-c,resnet18,sam,43,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sam_seed43_ep100.pt,True,0.776,0.8410584113121032,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed43_ep100_train.csv,True,0.493336,2.3966333576227825,0.282664,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed43_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,13.87802028656006,289.6756896972656,9.723698767723889,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed43_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed43_ep100_hessian_topk_eigenvalues.csv,0.1135739044637268,0.4440154051569213,0.716056067230432,0.1135739044637268,2.854459463489849,17.36504822777401,15.522885792047362,COMPLETE,,13.87802028656006,0.64382,0.56366,0.49750666666666665,0.4302266666666667,0.33146666666666663
cifar100,cifar100-c,resnet18,sam,44,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sam_seed44_ep100.pt,True,0.7773,0.8391923845291138,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed44_ep100_train.csv,True,0.4943466666666666,2.4542793411560058,0.2829533333333333,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed44_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,24.517807006835938,271.1522827148437,9.583398723967,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed44_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sam_seed44_ep100_hessian_topk_eigenvalues.csv,0.1867329645105618,0.5617173796785401,0.7788013203443939,0.1867329645105618,2.676527215779338,14.53453026209572,10.906036797710373,COMPLETE,,24.517807006835938,0.6446666666666666,0.5648133333333334,0.5003333333333333,0.43105999999999994,0.33086000000000004
cifar100,cifar100-c,resnet18,asam,42,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_asam_seed42_ep100.pt,True,0.7868,0.7494484887123108,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed42_ep100_train.csv,True,0.5110600000000001,2.2804870692481995,0.27574,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed42_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,15.63429832458496,266.55084228515625,8.533637442607892,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed42_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed42_ep100_hessian_topk_eigenvalues.csv,0.1566149386261523,0.5561565303894103,0.8085499165460313,0.1566149386261523,2.648677465932964,14.13533182001473,11.503467919306011,COMPLETE,,15.63429832458496,0.6592866666666667,0.58172,0.5163066666666667,0.44845999999999997,0.34952666666666665
cifar100,cifar100-c,resnet18,asam,43,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_asam_seed43_ep100.pt,True,0.7847,0.7581756874084473,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed43_ep100_train.csv,True,0.51654,2.2554357186203005,0.2681599999999999,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed43_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,7.349586009979248,225.2027130126953,9.52432049217632,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed43_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed43_ep100_hessian_topk_eigenvalues.csv,0.097628213384688,0.4234073110608048,0.7181597894240153,0.097628213384688,2.850988178184576,17.304873692949176,15.780225290443088,COMPLETE,,7.349586009979248,0.6637000000000001,0.5871,0.5225733333333333,0.4549133333333334,0.35441333333333336
cifar100,cifar100-c,resnet18,asam,44,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_asam_seed44_ep100.pt,True,0.7887,0.7511468815803528,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed44_ep100_train.csv,True,0.516976,2.24471928580602,0.2717239999999999,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed44_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,10.668413162231444,224.66148376464844,9.72906954482064,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed44_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_asam_seed44_ep100_hessian_topk_eigenvalues.csv,0.1144121057198832,0.4621975673222611,0.7279870214160181,0.1144121057198832,2.831645835344711,16.973373226206373,15.007617300787318,COMPLETE,,10.668413162231444,0.6648200000000001,0.5894333333333334,0.5227266666666667,0.45426666666666665,0.35363333333333336
cifar10,cifar10-c,resnet34,sgd,42,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei_arch_cifar10_resnet34_sgd_seed42_ep100.pt,True,0.9495,0.2033653298854827,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed42_ep100_train.csv,True,0.7567133333333333,1.2099081946843464,0.1927866666666666,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed42_ep100_v2_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,13.522394180297852,54.70500564575195,8.172863989346368,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed42_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed42_ep100_hessian_topk_eigenvalues.csv,0.3386719346336829,0.7682202211025355,0.9016842658638272,0.3386719346336829,2.1273206546552124,8.392350654971484,5.106496797684597,COMPLETE,,13.522394180297852,0.8831866666666667,0.8345933333333334,0.7764466666666666,0.7044066666666667,0.5849333333333333
cifar10,cifar10-c,resnet34,sgd,43,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei_arch_cifar10_resnet34_sgd_seed43_ep100.pt,True,0.9531,0.1981309326589107,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed43_ep100_train.csv,True,0.7561786666666667,1.2837302265523276,0.1969213333333332,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed43_ep100_v2_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,25.104473114013672,36.857269287109375,7.210114175019544,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed43_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei_arch_cifar10_resnet34_sgd_seed43_ep100_hessian_topk_eigenvalues.csv,0.77196927824476,0.8915917250879742,0.957389156044937,0.77196927824476,1.1168778159089618,3.055300086874425,1.6643735926171288,COMPLETE,,25.104473114013672,0.88396,0.8345866666666667,0.7752733333333333,0.7022066666666666,0.5848666666666666
