dataset,architecture,optimizer,seed,epoch,clean_acc,cifar_c_acc_final,ood_gap,lambda_max,trace_estimate,top5_mass_ratio,lambda_max_over_topk_mass,effective_rank,spectral_entropy,participation_ratio,checkpoint_path,source_file
CIFAR-10-C,ResNet-34,SGD,42.0,100.0,0.9495,0.7567133333333333,0.1927866666666666,13.522394180297852,54.70500564575195,0.7682202211025355,0.3386719346336829,8.392350654971484,2.1273206546552124,5.106496797684597,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei_arch_cifar10_resnet34_sgd_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-34,SGD,43.0,100.0,0.9531,0.7561786666666667,0.1969213333333332,25.104473114013672,36.857269287109375,0.8915917250879742,0.77196927824476,3.055300086874425,1.1168778159089618,1.6643735926171288,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei_arch_cifar10_resnet34_sgd_seed43_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-34,SGD,44.0,100.0,0.9536,0.745888,0.207712,5.468545436859131,21.303503036499023,0.6646393279344593,0.2998541216907469,11.51807268037382,2.443917339220312,7.367832584798207,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei_arch_cifar10_resnet34_sgd_seed44_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,ASAM,42.0,100.0,0.7868,0.5110600000000001,0.27574,15.63429832458496,266.55084228515625,0.5561565303894103,0.1566149386261523,14.13533182001473,2.648677465932964,11.503467919306011,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_asam_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,ASAM,43.0,100.0,0.7847,0.51654,0.2681599999999999,7.349586009979248,225.2027130126953,0.4234073110608048,0.097628213384688,17.304873692949176,2.850988178184576,15.780225290443088,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_asam_seed43_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,ASAM,44.0,100.0,0.7887,0.516976,0.2717239999999999,10.668413162231444,224.66148376464844,0.4621975673222611,0.1144121057198832,16.973373226206373,2.831645835344711,15.007617300787318,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_asam_seed44_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,SAM,42.0,100.0,0.7775,0.4912893333333333,0.2862106666666666,21.78164863586425,245.10166931152344,0.4944265628532118,0.1759001938311357,16.035026523547085,2.774775487247092,13.035974581633536,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sam_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,SAM,43.0,100.0,0.776,0.493336,0.282664,13.87802028656006,289.6756896972656,0.4440154051569213,0.1135739044637268,17.36504822777401,2.854459463489849,15.522885792047362,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sam_seed43_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,SAM,44.0,100.0,0.7773,0.4943466666666666,0.2829533333333333,24.517807006835938,271.1522827148437,0.5617173796785401,0.1867329645105618,14.53453026209572,2.676527215779338,10.906036797710373,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sam_seed44_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,SGD,42.0,100.0,0.7773,0.487016,0.2902839999999999,133.16122436523438,447.4846801757813,0.7276739742959637,0.5234726141846212,6.95724598587804,1.9397837043555264,3.4186233132199733,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sgd_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,SGD,43.0,100.0,0.7718,0.4862626666666667,0.2855373333333333,42.382720947265625,407.9071960449219,0.4897416704032472,0.179114067490068,16.113040727796278,2.779628927224077,13.018087832864463,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sgd_seed43_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-100-C,ResNet-18,SGD,44.0,100.0,0.7706,0.4867453333333333,0.2838546666666666,145.9477996826172,407.8074951171875,0.6932901150981144,0.4695326336358287,8.37833847393855,2.125649622035646,4.136293602329647,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sgd_seed44_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
