dataset,model,optimizer,seed,corruption,accuracy
cifar10,resnet18,asam,42,contrast,0.8084999999999999
cifar10,resnet18,asam,42,elastic_transform,0.8762399999999999
cifar10,resnet18,asam,42,pixelate,0.77468
cifar10,resnet18,asam,42,jpeg_compression,0.8303200000000001
cifar10,resnet18,asam,43,gaussian_noise,0.46769999999999995
cifar10,resnet18,asam,43,shot_noise,0.59846
cifar10,resnet18,asam,43,impulse_noise,0.5791
cifar10,resnet18,asam,43,defocus_blur,0.85746
cifar10,resnet18,asam,43,glass_blur,0.5684400000000001
cifar10,resnet18,asam,43,motion_blur,0.82772
cifar10,resnet18,asam,43,zoom_blur,0.81138
cifar10,resnet18,asam,43,snow,0.8467800000000001
cifar10,resnet18,asam,43,frost,0.8009000000000001
cifar10,resnet18,asam,43,fog,0.90352
cifar10,resnet18,asam,43,brightness,0.94756
cifar10,resnet18,asam,43,contrast,0.8063600000000001
cifar10,resnet18,asam,43,elastic_transform,0.87632
cifar10,resnet18,asam,43,pixelate,0.7884599999999999
cifar10,resnet18,asam,43,jpeg_compression,0.83632
cifar10,resnet18,asam,44,gaussian_noise,0.55056
cifar10,resnet18,asam,44,shot_noise,0.66022
cifar10,resnet18,asam,44,impulse_noise,0.61062
cifar10,resnet18,asam,44,defocus_blur,0.8535600000000001
cifar10,resnet18,asam,44,glass_blur,0.56852
cifar10,resnet18,asam,44,motion_blur,0.81598
cifar10,resnet18,asam,44,zoom_blur,0.8089600000000001
cifar10,resnet18,asam,44,snow,0.8436
cifar10,resnet18,asam,44,frost,0.79896
cifar10,resnet18,asam,44,fog,0.8981199999999999
cifar10,resnet18,asam,44,brightness,0.9452
cifar10,resnet18,asam,44,contrast,0.7967000000000001
cifar10,resnet18,asam,44,elastic_transform,0.8765000000000001
cifar10,resnet18,asam,44,pixelate,0.76856
cifar10,resnet18,asam,44,jpeg_compression,0.8282
cifar100,resnet18,sgd,42,gaussian_noise,0.2258
cifar100,resnet18,sgd,42,shot_noise,0.3049
cifar100,resnet18,sgd,42,impulse_noise,0.24122
cifar100,resnet18,sgd,42,defocus_blur,0.60314
cifar100,resnet18,sgd,42,glass_blur,0.2258
cifar100,resnet18,sgd,42,motion_blur,0.5482199999999999
cifar100,resnet18,sgd,42,zoom_blur,0.53878
cifar100,resnet18,sgd,42,snow,0.5501
cifar100,resnet18,sgd,42,frost,0.4791
cifar100,resnet18,sgd,42,fog,0.64472
cifar100,resnet18,sgd,42,brightness,0.73236
cifar100,resnet18,sgd,42,contrast,0.54558
cifar100,resnet18,sgd,42,elastic_transform,0.6155999999999999
cifar100,resnet18,sgd,42,pixelate,0.5315000000000001
cifar100,resnet18,sgd,42,jpeg_compression,0.51842
cifar100,resnet18,sgd,43,gaussian_noise,0.23894
cifar100,resnet18,sgd,43,shot_noise,0.31894
cifar100,resnet18,sgd,43,impulse_noise,0.26126
cifar100,resnet18,sgd,43,defocus_blur,0.59188
cifar100,resnet18,sgd,43,glass_blur,0.22662
cifar100,resnet18,sgd,43,motion_blur,0.53578
cifar100,resnet18,sgd,43,zoom_blur,0.52494
cifar100,resnet18,sgd,43,snow,0.5423600000000001
cifar100,resnet18,sgd,43,frost,0.47816000000000003
cifar100,resnet18,sgd,43,fog,0.63798
cifar100,resnet18,sgd,43,brightness,0.7264999999999999
cifar100,resnet18,sgd,43,contrast,0.53996
cifar100,resnet18,sgd,43,elastic_transform,0.60968
cifar100,resnet18,sgd,43,pixelate,0.5307000000000001
cifar100,resnet18,sgd,43,jpeg_compression,0.53024
cifar100,resnet18,sgd,44,gaussian_noise,0.22746
cifar100,resnet18,sgd,44,shot_noise,0.30934
cifar100,resnet18,sgd,44,impulse_noise,0.25628
cifar100,resnet18,sgd,44,defocus_blur,0.60522
cifar100,resnet18,sgd,44,glass_blur,0.21261999999999998
cifar100,resnet18,sgd,44,motion_blur,0.54872
cifar100,resnet18,sgd,44,zoom_blur,0.54024
cifar100,resnet18,sgd,44,snow,0.5474
cifar100,resnet18,sgd,44,frost,0.48040000000000005
cifar100,resnet18,sgd,44,fog,0.63514
cifar100,resnet18,sgd,44,brightness,0.73386
cifar100,resnet18,sgd,44,contrast,0.53952
cifar100,resnet18,sgd,44,elastic_transform,0.61122
cifar100,resnet18,sgd,44,pixelate,0.5313
cifar100,resnet18,sgd,44,jpeg_compression,0.52246
cifar100,resnet18,sam,42,gaussian_noise,0.23306
cifar100,resnet18,sam,42,shot_noise,0.3163
cifar100,resnet18,sam,42,impulse_noise,0.24100000000000002
cifar100,resnet18,sam,42,defocus_blur,0.60328
