dataset,architecture,optimizer,n_seeds,seeds,clean_acc_mean,clean_acc_std,cifar_c_acc_final_mean,cifar_c_acc_final_std,ood_gap_mean,ood_gap_std
CIFAR-10-C,ResNet-18,ASAM,3,"42,43,44",0.9577333333333332,0.001184623709594455,0.7701977777777778,0.004116503442558113,0.18753555555555546,0.004867146155983405
CIFAR-10-C,ResNet-18,SAM,3,"42,43,44",0.9559666666666665,0.0017097758137642914,0.7527253333333334,0.0027613043616700186,0.20324133333333325,0.0015531479145414458
CIFAR-10-C,ResNet-18,SGD,3,"42,43,44",0.9506666666666667,0.00015275252316517785,0.7435222222222221,0.00333443110812252,0.20714444444444438,0.0034756402660890548
CIFAR-10-C,ResNet-34,ASAM,3,"42,43,44",0.9611999999999999,0.00030000000000002247,0.7877795555555555,0.00916466201918682,0.17342044444444446,0.009233278395343925
CIFAR-10-C,ResNet-34,SAM,3,"42,43,44",0.9569666666666667,0.0013650396819629039,0.7628715555555555,0.008379741320147792,0.19409511111111108,0.008577123198973545
CIFAR-10-C,ResNet-34,SGD,3,"42,43,44",0.9520666666666667,0.0022368132093076648,0.7529266666666666,0.006101523452748873,0.19913999999999996,0.007706053147436232
CIFAR-100-C,ResNet-18,ASAM,3,"42,43,44",0.7867333333333333,0.0020008331597945257,0.5148586666666667,0.003296956980813224,0.27187466666666654,0.003792245421031406
CIFAR-100-C,ResNet-18,SAM,3,"42,43,44",0.7769333333333334,0.0008144527815246817,0.4929906666666666,0.0015576466579783354,0.2839426666666666,0.001969466030284438
CIFAR-100-C,ResNet-18,SGD,3,"42,43,44",0.7732333333333333,0.0035725807665234616,0.48667466666666664,0.0003816059631493025,0.2865586666666666,0.003334130038122521
