dataset,model,optimizer,seed,rank,normalized_positive_mass
cifar10,resnet18,asam,42,2,0.11969110703620316
cifar10,resnet18,asam,42,3,0.0709085239226611
cifar10,resnet18,asam,42,4,0.05837188737210856
cifar10,resnet18,asam,42,5,0.04115598011788394
cifar10,resnet18,asam,42,6,0.032425871044067946
cifar10,resnet18,asam,42,7,0.030721291148561876
cifar10,resnet18,asam,42,8,0.027959865550694515
cifar10,resnet18,asam,42,9,0.025698303662297653
cifar10,resnet18,asam,42,10,0.023818181488964328
cifar10,resnet18,asam,42,11,0.02176844143591177
cifar10,resnet18,asam,42,12,0.017909412835410005
cifar10,resnet18,asam,42,13,0.01532236005361713
cifar10,resnet18,asam,42,14,0.012486559640631084
cifar10,resnet18,asam,42,15,0.008903641287999467
cifar10,resnet18,asam,42,16,0.0056385729625993385
cifar10,resnet18,asam,42,17,0.0026946373173275624
cifar10,resnet18,asam,42,18,2.8689441410279736e-05
cifar10,resnet18,asam,43,1,0.2321770150412349
cifar10,resnet18,asam,43,2,0.16599302097904617
cifar10,resnet18,asam,43,3,0.0954262916303386
cifar10,resnet18,asam,43,4,0.07911396236654859
cifar10,resnet18,asam,43,5,0.07629778618319637
cifar10,resnet18,asam,43,6,0.05853818065992404
cifar10,resnet18,asam,43,7,0.04942421232980348
cifar10,resnet18,asam,43,8,0.041948385321246486
cifar10,resnet18,asam,43,9,0.03523005024810147
cifar10,resnet18,asam,43,10,0.030596599941219247
cifar10,resnet18,asam,43,11,0.02986724791302188
cifar10,resnet18,asam,43,12,0.02678066044254755
cifar10,resnet18,asam,43,13,0.02351320097619713
cifar10,resnet18,asam,43,14,0.018913450158020116
cifar10,resnet18,asam,43,15,0.015268383332926148
cifar10,resnet18,asam,43,16,0.010922883270452856
cifar10,resnet18,asam,43,17,0.006810412252865922
cifar10,resnet18,asam,43,18,0.0031329297415255432
cifar10,resnet18,asam,43,19,4.532721178352141e-05
cifar10,resnet18,asam,44,1,0.21307206936041279
cifar10,resnet18,asam,44,2,0.12013370694764777
cifar10,resnet18,asam,44,3,0.09842023762801065
cifar10,resnet18,asam,44,4,0.07993236559412152
cifar10,resnet18,asam,44,5,0.07673702457453414
cifar10,resnet18,asam,44,6,0.06703876846343113
cifar10,resnet18,asam,44,7,0.05659557578295343
cifar10,resnet18,asam,44,8,0.052308918301401996
cifar10,resnet18,asam,44,9,0.04575033898037765
cifar10,resnet18,asam,44,10,0.04251651703691251
cifar10,resnet18,asam,44,11,0.037353550643328334
cifar10,resnet18,asam,44,12,0.032995573119749204
cifar10,resnet18,asam,44,13,0.026988825482387957
cifar10,resnet18,asam,44,14,0.021368468138363107
cifar10,resnet18,asam,44,15,0.015518662483227013
cifar10,resnet18,asam,44,16,0.009347436569702505
cifar10,resnet18,asam,44,17,0.003917045807359191
cifar10,resnet18,asam,44,18,4.915086079118727e-06
cifar100,resnet18,sgd,42,1,0.5234726141846212
cifar100,resnet18,sgd,42,2,0.06918976628628554
cifar100,resnet18,sgd,42,3,0.05005525596854972
cifar100,resnet18,sgd,42,4,0.043428059513482824
cifar100,resnet18,sgd,42,5,0.04152827834302438
cifar100,resnet18,sgd,42,6,0.039446947197435134
cifar100,resnet18,sgd,42,7,0.035692487413118784
cifar100,resnet18,sgd,42,8,0.033383416475497786
cifar100,resnet18,sgd,42,9,0.03035063696311095
cifar100,resnet18,sgd,42,10,0.02874086373192447
cifar100,resnet18,sgd,42,11,0.025105637036243852
cifar100,resnet18,sgd,42,12,0.021698388205109043
cifar100,resnet18,sgd,42,13,0.01891114206194648
cifar100,resnet18,sgd,42,14,0.015129556070427801
cifar100,resnet18,sgd,42,15,0.011633310297236136
cifar100,resnet18,sgd,42,16,0.007640210467729554
cifar100,resnet18,sgd,42,17,0.00386434852677528
cifar100,resnet18,sgd,42,18,0.0007290812574810092
cifar100,resnet18,sgd,43,1,0.17911406749006803
cifar100,resnet18,sgd,43,2,0.08918603214023484
cifar100,resnet18,sgd,43,3,0.0846522174436585
cifar100,resnet18,sgd,43,4,0.0720404119124638
cifar100,resnet18,sgd,43,5,0.06474894141682207
cifar100,resnet18,sgd,43,6,0.05673259340490275
cifar100,resnet18,sgd,43,7,0.0518277408288179
cifar100,resnet18,sgd,43,8,0.049473705659274024
cifar100,resnet18,sgd,43,9,0.04751519782855076
cifar100,resnet18,sgd,43,10,0.04487017097139079
cifar100,resnet18,sgd,43,11,0.0407402832241035
cifar100,resnet18,sgd,43,12,0.03762206890599892
cifar100,resnet18,sgd,43,13,0.03336036088031601
cifar100,resnet18,sgd,43,14,0.029968780352800043
cifar100,resnet18,sgd,43,15,0.027894491710984067
cifar100,resnet18,sgd,43,16,0.025179803305104442
cifar100,resnet18,sgd,43,17,0.0212834098159045
cifar100,resnet18,sgd,43,18,0.017477086429938168
cifar100,resnet18,sgd,43,19,0.014831531574231475
cifar100,resnet18,sgd,43,20,0.011481104704435412
cifar100,resnet18,sgd,44,1,0.4695326336358287
cifar100,resnet18,sgd,44,2,0.06809293704180647
cifar100,resnet18,sgd,44,3,0.05681545087493292
cifar100,resnet18,sgd,44,4,0.05166879093023052
cifar100,resnet18,sgd,44,5,0.047180302615315896
cifar100,resnet18,sgd,44,6,0.039177569846313674
cifar100,resnet18,sgd,44,7,0.038038164077558105
cifar100,resnet18,sgd,44,8,0.035079415411293086
cifar100,resnet18,sgd,44,9,0.03184336066558692
cifar100,resnet18,sgd,44,10,0.028571607924325237
cifar100,resnet18,sgd,44,11,0.02668502331898643
cifar100,resnet18,sgd,44,12,0.024122497858139202
cifar100,resnet18,sgd,44,13,0.020629560213689356
cifar100,resnet18,sgd,44,14,0.01733766809616413
cifar100,resnet18,sgd,44,15,0.014561534543475906
cifar100,resnet18,sgd,44,16,0.01192324633843005
cifar100,resnet18,sgd,44,17,0.008866538353076306
cifar100,resnet18,sgd,44,18,0.005905158359485263
cifar100,resnet18,sgd,44,19,0.0031557908248333187
cifar100,resnet18,sgd,44,20,0.0008127490705285178
cifar100,resnet18,sam,42,1,0.17590019383113575
